time,language,instance_num,heuristic
0.16693401336669922,C++,1,0
0.010933160781860352,C++,1,1
0.08230209350585938,Java,1,0
0.05789375305175781,Java,1,1
0.15738701820373535,JavaScript,1,0
0.06384801864624023,JavaScript,1,1
0.02606201171875,Python,1,0
0.022131919860839844,Python,1,1
0.18391084671020508,Rust,1,0
0.008972883224487305,Rust,1,1
0.02774190902709961,C++,2,0
0.00859689712524414,C++,2,1
0.07994389533996582,Java,2,0
0.05641007423400879,Java,2,1
0.0471501350402832,JavaScript,2,0
0.04603385925292969,JavaScript,2,1
0.021941184997558594,Python,2,0
0.022030115127563477,Python,2,1
0.0028290748596191406,Rust,2,0
0.002460956573486328,Rust,2,1
0.002878904342651367,C++,3,0
0.0026750564575195312,C++,3,1
0.05153369903564453,Java,3,0
0.05304694175720215,Java,3,1
0.04877614974975586,JavaScript,3,0
0.04696917533874512,JavaScript,3,1
0.021825075149536133,Python,3,0
0.02225518226623535,Python,3,1
0.0031778812408447266,Rust,3,0
0.0031130313873291016,Rust,3,1
0.003918170928955078,C++,4,0
0.0036699771881103516,C++,4,1
0.054025888442993164,Java,4,0
0.05631089210510254,Java,4,1
0.04815793037414551,JavaScript,4,0
0.047616004943847656,JavaScript,4,1
0.02361011505126953,Python,4,0
0.022277116775512695,Python,4,1
0.021908998489379883,Rust,4,0
0.007436990737915039,Rust,4,1
0.003667116165161133,C++,5,0
0.0029027462005615234,C++,5,1
0.05322003364562988,Java,5,0
0.05926990509033203,Java,5,1
0.04919886589050293,JavaScript,5,0
0.047151803970336914,JavaScript,5,1
0.02044391632080078,Python,5,0
0.020329952239990234,Python,5,1
0.0030968189239501953,Rust,5,0
0.0025458335876464844,Rust,5,1
0.002759218215942383,C++,6,0
0.0028657913208007812,C++,6,1
0.04950976371765137,Java,6,0
0.05436396598815918,Java,6,1
0.047824859619140625,JavaScript,6,0
0.046871185302734375,JavaScript,6,1
0.02454090118408203,Python,6,0
0.020657062530517578,Python,6,1
0.0031728744506835938,Rust,6,0
0.0027511119842529297,Rust,6,1
0.003409862518310547,C++,7,0
0.0031969547271728516,C++,7,1
0.06003999710083008,Java,7,0
0.05888104438781738,Java,7,1
0.04684901237487793,JavaScript,7,0
0.050952911376953125,JavaScript,7,1
0.03067183494567871,Python,7,0
0.022349834442138672,Python,7,1
0.0032050609588623047,Rust,7,0
0.002958059310913086,Rust,7,1
0.003407001495361328,C++,8,0
0.003206014633178711,C++,8,1
0.06125473976135254,Java,8,0
0.05512404441833496,Java,8,1
0.04581403732299805,JavaScript,8,0
0.0467681884765625,JavaScript,8,1
0.021455049514770508,Python,8,0
0.02064371109008789,Python,8,1
0.0052640438079833984,Rust,8,0
0.00860905647277832,Rust,8,1
0.0053060054779052734,C++,9,0
0.0035707950592041016,C++,9,1
0.0638432502746582,Java,9,0
0.06435275077819824,Java,9,1
0.05528402328491211,JavaScript,9,0
0.04842495918273926,JavaScript,9,1
0.07187914848327637,Python,9,0
0.027327775955200195,Python,9,1
0.04322481155395508,Rust,9,0
0.0033080577850341797,Rust,9,1
0.0034139156341552734,C++,10,0
0.004628896713256836,C++,10,1
0.0852210521697998,Java,10,0
0.20181989669799805,Java,10,1
0.06349897384643555,JavaScript,10,0
0.04668021202087402,JavaScript,10,1
0.026375293731689453,Python,10,0
0.02475595474243164,Python,10,1
0.0031790733337402344,Rust,10,0
0.0029921531677246094,Rust,10,1
0.0035390853881835938,C++,11,0
0.0035669803619384766,C++,11,1
0.06081724166870117,Java,11,0
0.06130814552307129,Java,11,1
0.049215078353881836,JavaScript,11,0
0.045500993728637695,JavaScript,11,1
0.021001100540161133,Python,11,0
0.018758058547973633,Python,11,1
0.0026040077209472656,Rust,11,0
0.0022001266479492188,Rust,11,1
0.004016876220703125,C++,12,0
0.0028569698333740234,C++,12,1
0.05223393440246582,Java,12,0
0.058815956115722656,Java,12,1
0.049169063568115234,JavaScript,12,0
0.047489166259765625,JavaScript,12,1
0.02472710609436035,Python,12,0
0.022485017776489258,Python,12,1
0.0030138492584228516,Rust,12,0
0.002933025360107422,Rust,12,1
